order_id,customer_id,customer_name,customer_email,order_date,shipping_city,shipping_state,shipping_country,shipping_cost,product_id,product_name,category,quantity,unit_price,revenue,store_name,payment_method,order_status
ORD000064,CUST01237,Mr. Robert Smith,asparks@example.com,2024-05-11,Lopezchester,Oregon,USA,14.43,PROD6168,Camping Chair,Camping Gear,4,238.81,955.24,OutdoorHub,PayPal,Completed
ORD000065,CUST01519,Lydia Mendoza,kentbrianna@example.com,2024-08-18,Hernandezchester,Kentucky,USA,16.4,PROD9819,Garden Bench,Patio Furniture,5,367.79,1838.95,PatioWorld,Credit Card,Completed
ORD000066,CUST00515,Jason Gonzalez,rachel18@example.com,2024-03-22,West James,Tennessee,USA,29.9,PROD7766,Decorative Vase,Home Decor,3,390.26,1170.78,PatioWorld,PayPal,Cancelled
ORD000067,CUST01612,Tammy Landry,scott57@example.com,2024-11-23,Robertsonbury,Louisiana,USA,26.83,PROD5277,Area Rug,Home Decor,1,248.4,248.4,GardenPro,Credit Card,Completed
ORD000068,CUST01632,Ann Allen,kristaflynn@example.net,2024-08-25,East Patricia,Nebraska,USA,20.03,PROD1226,Decorative Vase,Home Decor,4,248.57,994.28,GardenPro,Credit Card,Cancelled
ORD000069,CUST01255,Katherine Cabrera,johnflores@example.org,2025-03-18,Monicaport,Nebraska,USA,11.24,PROD2420,Tent,Camping Gear,1,244.92,244.92,OutdoorHub,Google Pay,Cancelled
ORD000070,CUST01099,Mary Ferguson,xvalencia@example.net,2024-10-26,Tinamouth,North Dakota,USA,17.57,PROD8244,LED Lantern,Lighting,1,253.92,253.92,HomeEssentials,Google Pay,Completed
ORD000071,CUST00072,Megan Johnston,bcook@example.org,2024-09-12,Port Brittanybury,Idaho,USA,7.11,PROD2906,Patio Table,Patio Furniture,5,481.67,2408.35,HomeEssentials,Google Pay,Returned
ORD000072,CUST02247,Joseph Johnson,claudia58@example.com,2025-08-18,Lake Katherineland,Delaware,USA,10.93,PROD6280,Wall Art,Home Decor,5,240.79,1203.95,CampMaster,Credit Card,Returned
ORD000073,CUST00785,Jill Martin,christine15@example.org,2024-08-10,West Ashley,Kansas,USA,20.26,PROD7059,Tent,Camping Gear,4,138.26,553.04,CampMaster,PayPal,Returned
ORD000074,CUST00927,Cynthia Baird,erikaowens@example.com,2026-02-14,Smithhaven,Delaware,USA,16.41,PROD6273,LED Lantern,Lighting,2,334.68,669.36,CampMaster,Credit Card,Completed
ORD000075,CUST00927,Cynthia Baird,erikaowens@example.com,2024-09-09,North Michael,Delaware,USA,5.54,PROD7407,Pruning Shears,Garden Tools,5,125.91,629.55,CampMaster,Apple Pay,Completed
ORD000076,CUST01531,Mary Gallegos,invalid_email,2025-02-06,Castillotown,Ohio,USA,8.22,PROD5041,Outdoor Lamp,Lighting,1,232.41,232.41,OutdoorHub,Google Pay,Cancelled
ORD000077,CUST00705,Brian Nelson,pateljulie@example.net,2024-07-19,East Nicoletown,South Dakota,USA,26.5,PROD2594,Portable Stove,Camping Gear,2,447.51,895.02,OutdoorHub,Apple Pay,Cancelled
ORD000078,CUST02350,Rose Lee,uhill@example.net,2024-02-08,Sullivanberg,North Carolina,USA,18.9,PROD5083,Garden Bench,Patio Furniture,5,330.65,1653.25,PatioWorld,Google Pay,Returned
ORD000079,CUST02226,Sara Fry,adamsmichael@example.com,2024-08-29,Madelineport,Wyoming,USA,8.79,PROD6946,Outdoor Sofa,Patio Furniture,1,144.97,144.97,GardenPro,PayPal,Cancelled
ORD000080,CUST00016,Denise Fernandez,jamestina@example.net,2026-01-27,Sherylmouth,Oregon,USA,22.4,PROD5926,Outdoor Lamp,Lighting,3,359.3,1077.9,CampMaster,Credit Card,Cancelled
ORD000081,CUST00674,Molly Cox,vhuang@example.net,2023-08-03,North Ashley,Louisiana,USA,6.44,PROD1194,Sleeping Bag,Camping Gear,5,190.48,952.4,OutdoorHub,Credit Card,Completed
ORD000082,CUST01379,Tara Morgan,fosborn@example.com,2026-01-03,South Angela,Mississippi,USA,16.28,PROD3426,Outdoor Lamp,Lighting,2,209.43,418.86,HomeEssentials,Credit Card,Completed
ORD000083,CUST00175,Nancy Oliver,dwhite@example.net,2025-02-21,West Amyberg,Delaware,USA,23.2,PROD5290,Area Rug,Home Decor,5,296.44,1482.2,PatioWorld,Google Pay,Cancelled
ORD000084,CUST00927,Cynthia Baird,erikaowens@example.com,2026-04-22,North Derrick,Nevada,USA,25.64,PROD9840,Pruning Shears,Garden Tools,3,412.51,1237.53,PatioWorld,Google Pay,Completed
ORD000085,CUST00312,Rachel Simmons,dana17@example.com,2023-08-08,Williamborough,Kansas,USA,14.58,PROD9431,Area Rug,Home Decor,3,195.59,586.77,CampMaster,PayPal,Returned
ORD000086,CUST02418,Stephen Fisher,kathywalker@example.org,2025-05-05,Woodview,Rhode Island,USA,25.93,PROD8438,Wall Art,Home Decor,1,142.24,142.24,PatioWorld,Google Pay,Completed
ORD000087,CUST01288,Katie Combs,narmstrong@example.net,2025-05-28,Stevenstad,Mississippi,USA,19.91,PROD5673,Portable Stove,Camping Gear,2,174.21,348.42,PatioWorld,Google Pay,Completed
ORD000088,CUST00517,Christian Collier,lorielliott@example.com,2025-01-09,Spencerburgh,Missouri,USA,9.58,PROD4365,Outdoor Sofa,Patio Furniture,3,493.05,1479.15,GardenPro,Apple Pay,Returned
ORD000089,CUST02216,Carlos Webster,invalid_email,2025-03-03,West Jacob,North Carolina,USA,6.93,PROD3923,Garden Hose,Garden Tools,5,414.16,2070.8,GardenPro,Credit Card,Returned
ORD000090,CUST00430,Derek Ramirez,anash@example.net,2024-07-11,Port Jacquelineview,California,USA,22.38,PROD7063,Tent,Camping Gear,2,204.73,409.46,PatioWorld,Apple Pay,Cancelled
ORD000091,CUST00104,Susan Ford,hannah13@example.com,2023-11-08,Dudleychester,Pennsylvania,USA,19.93,PROD4220,Decorative Vase,Home Decor,4,310.76,1243.04,OutdoorHub,PayPal,Cancelled
ORD000092,CUST01741,Craig Michael,kathleenreed@example.org,2026-04-15,Port James,Minnesota,USA,15.7,PROD9858,Outdoor Sofa,Patio Furniture,5,270.95,1354.75,PatioWorld,Google Pay,Completed
ORD000093,CUST01688,Sean Anderson,robinsoncollin@example.com,2026-03-17,Sandovalhaven,New Jersey,USA,8.6,PROD5621,Patio Table,Patio Furniture,5,362.9,1814.5,OutdoorHub,Apple Pay,Returned
ORD000094,CUST00435,Megan Thomas,brettreed@example.org,2024-06-12,Fitzgeraldfort,Vermont,USA,16.28,PROD9666,Garden Bench,Patio Furniture,1,83.65,83.65,GardenPro,Apple Pay,Cancelled
ORD000095,CUST00438,Heidi Nguyen,fullerbrian@example.com,2024-05-15,Freemanberg,Indiana,USA,12.31,PROD2005,LED Lantern,Lighting,3,229.89,689.67,PatioWorld,PayPal,Returned
ORD000096,CUST01090,Ricardo Freeman,zpeters@example.net,2025-01-26,Annstad,New Hampshire,USA,7.99,PROD9878,Solar Light,Lighting,5,195.68,978.4,OutdoorHub,Credit Card,Returned
ORD000097,CUST02049,Kevin Howard,wray@example.org,2025-12-17,New Willie,Nevada,USA,23.74,PROD7977,Outdoor Lamp,Lighting,3,231.21,693.63,OutdoorHub,PayPal,Returned
ORD000098,CUST02236,Laura Meyer,lukewang@example.com,2026-01-05,Chadborough,Missouri,USA,8.26,PROD4575,LED Lantern,Lighting,2,199.67,399.34,OutdoorHub,Google Pay,Cancelled
ORD000099,CUST00929,Sheena Hughes,vaughnshawn@example.org,2023-11-15,Eduardomouth,Pennsylvania,USA,28.56,PROD1697,Sleeping Bag,Camping Gear,5,48.36,241.8,GardenPro,Google Pay,Returned
ORD000100,CUST00973,Frank Smith,tonya48@example.com,2025-07-11,West Graceport,Colorado,USA,29.23,PROD4757,Patio Table,Patio Furniture,4,361.68,1446.72,OutdoorHub,Apple Pay,Returned
ORD000101,CUST00365,Kyle Parker,robertsonmaria@example.com,2024-10-28,Port Jill,West Virginia,USA,28.82,PROD6409,Sleeping Bag,Camping Gear,1,147.53,147.53,OutdoorHub,Google Pay,Returned
ORD000102,CUST01135,Jonathan Rhodes,clarkandrew@example.com,2026-05-12,Jonathanfort,Mississippi,USA,11.23,PROD2697,Pruning Shears,Garden Tools,5,236.62,1183.1,OutdoorHub,Apple Pay,Completed
ORD000103,CUST01036,Kenneth Simpson,kevin60@example.com,2024-03-08,Lake Barbarachester,Illinois,USA,13.01,PROD9268,Portable Stove,Camping Gear,4,397.37,1589.48,PatioWorld,Credit Card,Completed
ORD000104,CUST02176,Christina Clark MD,melissaspencer@example.com,2024-04-06,New Zacharychester,Delaware,USA,26.61,PROD7602,Solar Light,Lighting,2,91.75,183.5,GardenPro,Credit Card,Cancelled
ORD000105,CUST01435,Thomas Bowen,cookgloria@example.net,2024-07-02,Lake Holly,California,USA,26.69,PROD2146,Outdoor Lamp,Lighting,2,80.74,161.48,GardenPro,Google Pay,Returned
ORD000106,CUST00190,David Reyes,sethreid@example.org,2023-06-28,Brendaton,North Carolina,USA,29.81,PROD2772,Outdoor Sofa,Patio Furniture,3,340.24,1020.72,OutdoorHub,Apple Pay,Completed
ORD000107,CUST00836,Ronald Mitchell,denise87@example.net,2023-06-23,South Maria,Oklahoma,USA,26.47,PROD4247,Camping Chair,Camping Gear,1,390.03,390.03,OutdoorHub,Credit Card,Completed
ORD000108,CUST02352,Christina Cooper,chavezbradley@example.com,,Amandaburgh,Arkansas,USA,5.73,PROD3817,Outdoor Sofa,Patio Furniture,3,422.31,1266.93,GardenPro,Apple Pay,Returned
ORD000109,CUST02367,Brian Collins,patricia99@example.org,2024-02-27,Port Samantha,Minnesota,USA,7.6,PROD4697,Sleeping Bag,Camping Gear,5,268.0,1340.0,GardenPro,PayPal,Cancelled
ORD000110,CUST00663,Daniel Perkins,wstevens@example.net,2023-10-26,East Jane,New Mexico,USA,19.6,PROD9122,LED Lantern,Lighting,2,343.73,687.46,OutdoorHub,Google Pay,Completed
ORD000111,CUST00247,Michael Brown,maciasheather@example.net,2026-06-08,West Veronica,West Virginia,USA,23.19,PROD6711,Sleeping Bag,Camping Gear,2,255.86,511.72,PatioWorld,Apple Pay,Returned
ORD000112,CUST01051,Lisa Clay,jeremy27@example.net,2026-03-29,Gutierreztown,Ohio,USA,16.03,PROD7052,Tent,Camping Gear,3,420.72,1262.16,CampMaster,Credit Card,Returned
ORD000113,CUST00775,Spencer Roberts,brett71@example.net,2026-03-18,Trevorborough,Wyoming,USA,6.94,PROD7290,Solar Light,Lighting,1,243.54,243.54,CampMaster,Google Pay,Returned
ORD000114,CUST01050,Brenda Owens,matthewpierce@example.org,2026-01-20,New Ronald,North Dakota,USA,18.7,PROD5999,Patio Table,Patio Furniture,1,216.75,216.75,GardenPro,Apple Pay,Cancelled
ORD000115,CUST00970,Jennifer Smith,teresa68@example.net,2025-11-22,New Marcushaven,Georgia,USA,26.51,PROD2444,Outdoor Sofa,Patio Furniture,4,113.05,452.2,HomeEssentials,PayPal,Completed
ORD000116,CUST01390,Debra Taylor,brian40@example.net,2025-04-14,Lake Tammy,Missouri,USA,10.83,PROD9109,Camping Chair,Camping Gear,4,300.34,1201.36,CampMaster,Google Pay,Cancelled
ORD000117,CUST02133,Carla Andersen,tapiavanessa@example.com,2025-03-12,Port Charles,New Hampshire,USA,18.78,PROD2851,Pruning Shears,Garden Tools,2,118.36,236.72,PatioWorld,Apple Pay,Returned
ORD000118,CUST00704,Michelle Salazar,wardbrooke@example.org,2024-09-13,West Kaylafurt,Massachusetts,USA,27.2,PROD9532,Garden Bench,Patio Furniture,3,24.18,72.54,OutdoorHub,PayPal,Returned
ORD000119,CUST02278,Stephen Wilson,craigjamie@example.com,2025-10-13,East Jasonfort,Utah,USA,27.26,PROD4129,Pruning Shears,Garden Tools,5,325.41,1627.05,HomeEssentials,Google Pay,Returned
ORD000120,CUST02311,Patricia Wu,rachael00@example.net,2024-10-16,Lesliestad,Massachusetts,USA,21.31,PROD8032,Garden Bench,Patio Furniture,5,235.16,1175.8,HomeEssentials,PayPal,Returned
ORD000121,CUST01298,Misty Callahan,kenneth84@example.com,,North Daniel,Colorado,USA,29.11,PROD7359,Garden Hose,Garden Tools,2,479.82,959.64,HomeEssentials,Credit Card,Completed
ORD000122,CUST02126,Scott Nelson,christopherperry@example.com,2023-08-09,West Megan,Texas,USA,5.06,PROD5416,Wall Art,Home Decor,4,194.8,779.2,GardenPro,Apple Pay,Cancelled
ORD000123,CUST00019,Anthony Brown,ashelton@example.com,2023-12-27,East Douglas,Arkansas,USA,12.31,PROD4456,Patio Table,Patio Furniture,3,352.75,1058.25,OutdoorHub,Credit Card,Completed
ORD000124,CUST01061,Javier Owens,richard52@example.org,2026-01-31,Annabury,Tennessee,USA,6.95,PROD7085,LED Lantern,Lighting,3,62.96,188.88,HomeEssentials,Credit Card,Returned
ORD000125,CUST01775,Robert Lewis,maria95@example.org,2025-11-13,Lake Cynthia,Hawaii,USA,12.62,PROD5993,Outdoor Lamp,Lighting,2,422.43,844.86,PatioWorld,PayPal,Returned
ORD000126,CUST00389,Erin Davis,miguel70@example.com,2026-01-14,Christopherberg,Connecticut,USA,21.73,PROD4714,Tent,Camping Gear,4,135.82,543.28,GardenPro,PayPal,Returned
ORD000127,CUST01256,Danny Tucker,rwatkins@example.org,2023-06-17,Kaitlynbury,New Hampshire,USA,13.41,PROD4514,Wall Art,Home Decor,5,70.06,350.3,OutdoorHub,Google Pay,Completed
ORD000128,CUST00900,Dr. Crystal Hill MD,claykevin@example.org,2025-01-16,Taraberg,Kansas,USA,16.4,PROD1469,Solar Light,Lighting,2,82.31,164.62,PatioWorld,PayPal,Returned
ORD000129,CUST02338,Jeanette Mullen,ashley49@example.net,2026-02-17,Courtneymouth,Iowa,USA,6.15,PROD4554,Garden Hose,Garden Tools,3,89.09,267.27,PatioWorld,Apple Pay,Cancelled
ORD000130,CUST02172,Colleen Burns,colleen98@example.net,2025-03-10,Maryside,Nevada,USA,9.18,PROD5912,Outdoor Sofa,Patio Furniture,3,75.24,225.72,GardenPro,Google Pay,Cancelled
ORD000131,CUST00186,Heather Carroll,pcasey@example.net,2023-07-07,Sawyerview,Nebraska,USA,11.86,PROD9112,Tent,Camping Gear,5,457.25,2286.25,GardenPro,PayPal,Completed
ORD000132,CUST02411,Carly Fisher,krodriguez@example.com,,East Gabriel,Delaware,USA,23.5,PROD2072,Outdoor Lamp,Lighting,1,324.9,324.9,CampMaster,PayPal,Completed
